k,n,p,num_indices,presolve,add_basis_pursuit_valid_inequalities,add_Shor_valid_inequalities,nrow,proportion_presolved,solve_time_relaxation_mean,solve_time_relaxation_geomean,time_taken_mean,time_taken_geomean,true_optimality_gap_mean,true_optimality_gap_geomean
2,50,2.0,340,false,false,false,20,0.0,5.5371689081192015,5.515421696468814,12.632863771915435,9.818414442450623,2.1573781077103395e7,85055.73194952366
2,50,2.0,340,true,false,false,20,0.75,4.050246834754944,0.0,4.191391909122467,0.4356242135551112,0.0,0.0
2,50,2.0,340,true,true,false,15,1.0,0.0,0.0,0.12989328702290853,0.12123495385451633,0.0,0.0
2,50,2.0,340,true,true,true,15,1.0,0.0,0.0,0.10673718452453614,0.10341201880455421,0.0,0.0
2,50,3.0,510,false,false,false,20,0.0,6.434088039398193,6.414161701403687,24.089071094989777,24.07934716953217,1.0610498292148482e7,8218.76182660819
2,50,3.0,510,true,false,false,20,1.0,0.0,0.0,0.17456334829330444,0.17353605596788635,0.0,0.0
2,50,3.0,510,true,true,false,20,1.0,0.0,0.0,0.11175063848495484,0.10667296252600078,0.0,0.0
2,50,3.0,510,true,true,true,20,1.0,0.0,0.0,0.23402755260467528,0.23267289677908498,0.0,0.0
2,75,2.0,563,false,false,false,20,0.0,38.37836414575577,38.16114721181972,41.97048165798187,41.106433028657136,1.2010275428939723e11,2.3558499323983514e6
2,75,2.0,563,true,false,false,20,0.7,39.93753589391709,0.0,40.40977498292923,2.478139458214509,0.0,0.0
2,75,2.0,563,true,true,false,14,1.0,0.0,0.0,0.4507681812558855,0.4417324867461173,0.0,0.0
2,75,2.0,563,true,true,true,14,1.0,0.0,0.0,0.4246560164860317,0.4170400017956385,0.0,0.0
2,75,3.0,844,false,false,false,20,0.0,44.86228462457657,44.81385762873257,51.97198303937912,51.30911830442324,1.3238634700900454e7,103274.4973054424
2,75,3.0,844,true,false,false,20,1.0,0.0,0.0,0.434773588180542,0.43349014517573264,0.0,0.0
2,75,3.0,844,true,true,false,20,1.0,0.0,0.0,0.44084532260894777,0.43795736191127693,0.0,0.0
2,75,3.0,844,true,true,true,20,1.0,0.0,0.0,0.5564013481140136,0.5552385566553105,0.0,0.0
2,100,2.0,800,false,false,false,20,0.0,158.9258556842804,158.23908988312178,159.05019738674164,158.36384293911496,4.895829732120502e8,366268.43611845386
2,100,2.0,800,true,false,false,20,0.65,220.56698768138887,0.0,221.9816019654274,11.57715546085453,0.0,0.0
2,100,2.0,800,true,true,false,13,1.0,0.0,0.0,1.3477211915529692,1.3233637771111932,0.0,0.0
2,100,2.0,800,true,true,true,13,1.0,0.0,0.0,1.3954703074235182,1.368604177610197,0.0,0.0
2,100,3.0,1200,false,false,false,20,0.0,181.26403739452363,180.6685731870919,188.42448041439056,187.6851640742976,5.415060591724448e8,926690.1322793178
2,100,3.0,1200,true,false,false,20,1.0,0.0,0.0,1.2784889221191407,1.2773156146574407,0.0,0.0
2,100,3.0,1200,true,true,false,20,1.0,0.0,0.0,1.2736184120178222,1.271362798972489,0.0,0.0
2,100,3.0,1200,true,true,true,20,1.0,0.0,0.0,1.314594292640686,1.3113396580139847,0.0,0.0
