n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.00e-02,1.12e-02,3.10e-02,3.58e-03,5.40e-03,3.00e-02
10,true,7.14e-04,8.71e-04,1.22e-02,3.32e-04,5.74e-04,1.37e-02
20,false,9.42e-03,9.42e-03,9.42e-03,2.73e-04,5.61e-04,3.53e-03
20,true,1.81e-03,2.73e-03,2.73e-03,1.25e-04,2.29e-04,2.03e-03
30,false,5.16e-03,5.16e-03,5.16e-03,7.44e-04,1.29e-03,1.88e-03
30,true,4.29e-04,5.17e-04,5.17e-04,6.57e-05,8.99e-05,5.68e-04
40,false,2.94e-04,2.94e-04,2.94e-04,3.28e-05,6.64e-05,5.10e-05
40,true,4.28e-05,4.28e-05,4.28e-05,2.22e-06,2.49e-06,8.92e-06
50,false,3.30e-05,3.30e-05,3.30e-05,5.72e-06,1.05e-05,7.13e-06
50,true,3.37e-06,3.37e-06,3.37e-06,7.09e-07,2.79e-07,2.71e-06
