n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.33e-02,1.78e-02,1.20e-02,2.61e-02,2.28e-02,3.36e-02
10,true,1.35e-02,1.78e-02,1.33e-02,2.51e-02,2.28e-02,2.69e-02
20,false,1.26e-01,1.31e-01,1.05e-01,1.40e-01,1.31e-01,1.63e-01
20,true,1.25e-01,1.31e-01,1.06e-01,1.39e-01,1.34e-01,1.43e-01
30,false,6.39e-01,6.13e-01,5.10e-01,5.68e-01,5.47e-01,6.67e-01
30,true,6.34e-01,6.16e-01,5.20e-01,5.65e-01,5.44e-01,5.60e-01
40,false,1.92e+00,1.77e+00,1.55e+00,1.70e+00,1.67e+00,1.79e+00
40,true,1.94e+00,1.77e+00,1.59e+00,1.68e+00,1.66e+00,1.71e+00
50,false,4.86e+00,4.55e+00,4.35e+00,4.53e+00,4.41e+00,4.59e+00
50,true,4.91e+00,4.63e+00,4.34e+00,4.49e+00,4.43e+00,4.54e+00
