n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,9.20e-02,1.40e-01,2.53e-01,1.23e-01,1.75e-01,2.44e-01
10,true,2.11e-02,4.71e-02,1.56e-01,3.05e-02,5.59e-02,1.45e-01
20,false,1.17e-01,1.17e-01,1.17e-01,7.20e-02,9.20e-02,1.10e-01
20,true,7.49e-02,8.37e-02,8.37e-02,3.52e-02,4.90e-02,6.95e-02
30,false,1.08e-01,1.08e-01,1.08e-01,7.78e-02,9.14e-02,1.05e-01
30,true,5.93e-02,5.99e-02,5.99e-02,3.42e-02,4.20e-02,5.66e-02
40,false,4.97e-02,4.97e-02,4.97e-02,3.45e-02,4.00e-02,4.97e-02
40,true,4.47e-02,4.52e-02,4.52e-02,1.82e-02,2.19e-02,3.44e-02
50,false,2.42e-02,2.42e-02,2.42e-02,1.79e-02,2.03e-02,2.42e-02
50,true,2.13e-02,2.13e-02,2.13e-02,1.18e-02,1.38e-02,1.91e-02
