n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.72e-02,1.84e-02,2.17e-02,2.52e-02,2.20e-02,4.88e-02
10,true,1.67e-02,1.83e-02,2.20e-02,2.29e-02,2.22e-02,2.78e-02
20,false,1.24e-01,1.25e-01,1.07e-01,1.31e-01,1.23e-01,1.95e-01
20,true,1.18e-01,1.23e-01,1.07e-01,1.23e-01,1.25e-01,1.38e-01
30,false,6.24e-01,6.25e-01,5.11e-01,5.41e-01,5.11e-01,5.82e-01
30,true,6.17e-01,6.03e-01,5.32e-01,5.27e-01,5.21e-01,5.45e-01
40,false,1.97e+00,1.84e+00,1.73e+00,1.53e+00,1.49e+00,2.01e+00
40,true,1.92e+00,1.84e+00,1.77e+00,1.52e+00,1.51e+00,1.62e+00
50,false,5.07e+00,4.74e+00,4.56e+00,4.26e+00,4.18e+00,4.63e+00
50,true,4.89e+00,4.66e+00,4.54e+00,4.14e+00,4.11e+00,4.33e+00
