n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.33e-02,1.89e-02,1.27e-02,2.78e-02,2.47e-02,4.21e-02
10,true,1.32e-02,1.86e-02,1.35e-02,2.69e-02,2.44e-02,2.86e-02
20,false,1.39e-01,1.47e-01,1.20e-01,1.48e-01,1.38e-01,1.67e-01
20,true,1.40e-01,1.48e-01,1.20e-01,1.46e-01,1.39e-01,1.46e-01
30,false,6.56e-01,6.37e-01,5.41e-01,5.93e-01,5.65e-01,6.80e-01
30,true,6.59e-01,6.31e-01,5.46e-01,5.87e-01,5.72e-01,6.04e-01
40,false,1.98e+00,1.88e+00,1.72e+00,1.73e+00,1.72e+00,1.79e+00
40,true,1.98e+00,1.89e+00,1.68e+00,1.74e+00,1.74e+00,1.82e+00
50,false,5.15e+00,4.83e+00,4.47e+00,4.63e+00,4.58e+00,4.72e+00
50,true,5.22e+00,4.83e+00,4.49e+00,4.70e+00,4.59e+00,4.75e+00
