k,n,p,num_indices,presolve,add_basis_pursuit_valid_inequalities,add_Shor_valid_inequalities,nrow,proportion_presolved,solve_time_relaxation_mean,solve_time_relaxation_geomean,time_taken_mean,time_taken_geomean,true_optimality_gap_mean,true_optimality_gap_geomean
1,40,3.0,193,false,false,false,20,0.0,2.401193046569824,2.3842641917256504,2.4280266404151916,2.4118720014188337,0.1782161462991306,0.1578911842235026
1,40,3.0,193,true,false,false,20,0.95,0.3189913511276245,0.0,0.326454758644104,0.007979822740193621,5.0075278961641105e-9,0.0
1,40,3.0,193,true,true,false,20,0.95,0.3661743998527527,0.0,0.40472089052200316,0.00794944879656919,5.007148765839614e-9,0.0
1,40,3.0,193,true,true,true,20,0.95,0.31882948875427247,0.0,0.49726166725158694,0.0168959783428885,4.99058738312564e-9,0.0
1,50,2.0,170,false,false,false,20,0.0,6.6430676817893985,6.612512235960114,6.675474917888641,6.644557005425721,0.38791299366696586,0.3393566489167463
1,50,2.0,170,true,false,false,20,0.8,4.093528437614441,0.0,4.112087082862854,0.04805544606956067,3.879002991437031e-8,0.0
1,50,2.0,170,true,true,false,20,0.8,4.496475112438202,0.0,4.54449599981308,0.05207265237059279,3.8790097974050964e-8,0.0
1,50,2.0,170,true,true,true,20,0.8,187.5919156193733,0.0,191.19752836227417,0.09883817694735955,3.777778784933912e-8,0.0
1,50,2.5,213,false,false,false,20,0.0,6.776847267150879,6.73332371341882,6.805706191062927,6.762379622063048,0.1931785340668863,0.16959256926119184
1,50,2.5,213,true,false,false,20,0.95,0.8124049067497253,0.0,0.8352805256843567,0.01976957662541754,4.093159970296776e-8,0.0
1,50,2.5,213,true,true,false,20,0.95,1.320547604560852,0.0,1.3366814136505127,0.015683471518493974,4.09316506419545e-8,0.0
1,50,2.5,213,true,true,true,20,0.95,1.445091152191162,0.0,1.4999551653862,0.024992616292234655,4.127422750823223e-8,0.0
1,50,3.0,255,false,false,false,20,0.0,6.919875860214233,6.879756685406424,6.958112037181854,6.918145249763723,0.1132446701744065,0.09665251279488324
1,50,3.0,255,true,false,false,20,1.0,0.0,0.0,0.010183966159820557,0.009959670955960372,0.0,0.0
1,50,3.0,255,true,true,false,20,1.0,0.0,0.0,0.01375725269317627,0.010308459715529657,0.0,0.0
1,50,3.0,255,true,true,true,20,1.0,0.0,0.0,0.04584834575653076,0.015571945266607667,0.0,0.0
