n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.44e-01,1.85e-01,3.45e-01,1.32e-01,1.96e-01,2.61e-01
10,true,2.97e-02,5.86e-02,1.88e-01,3.16e-02,5.52e-02,1.61e-01
20,false,1.29e-01,1.29e-01,1.29e-01,7.04e-02,9.22e-02,1.27e-01
20,true,6.74e-02,9.05e-02,9.05e-02,2.69e-02,3.94e-02,8.27e-02
30,false,1.03e-01,1.03e-01,1.03e-01,7.07e-02,8.38e-02,9.37e-02
30,true,5.74e-02,6.08e-02,6.08e-02,2.39e-02,3.10e-02,5.28e-02
40,false,5.15e-02,5.15e-02,5.15e-02,3.44e-02,4.02e-02,5.15e-02
40,true,4.44e-02,4.44e-02,4.44e-02,2.16e-02,2.62e-02,4.02e-02
50,false,2.62e-02,2.62e-02,2.62e-02,1.75e-02,2.04e-02,2.62e-02
50,true,1.98e-02,1.98e-02,1.98e-02,7.78e-03,9.71e-03,1.44e-02
