n,p,γ,Int64[],[4],"[4, 3]"
10,2.0,20.0,0.081,0.081,0.081
10,2.0,80.0,0.216,0.216,0.216
10,3.0,20.0,0.0581,0.0581,0.0506
10,3.0,80.0,0.165,0.165,0.165
20,2.0,20.0,0.0601,0.0601,0.0601
20,2.0,80.0,0.183,0.183,0.183
20,3.0,20.0,0.0369,0.0369,0.0369
20,3.0,80.0,0.133,0.133,0.133
30,2.0,20.0,0.0394,0.0394,0.0394
30,2.0,80.0,0.138,0.138,0.138
30,3.0,20.0,0.0195,0.0195,0.0195
30,3.0,80.0,0.0772,0.0772,0.0772
