n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,2.37e-02,3.06e-02,5.02e-02,5.28e-03,1.10e-02,2.60e-02
10,true,3.29e-04,4.90e-04,7.92e-03,2.93e-04,4.91e-04,5.22e-03
20,false,4.78e-03,4.78e-03,4.78e-03,2.61e-04,4.03e-04,4.03e-03
20,true,5.51e-04,8.01e-04,8.01e-04,1.32e-04,1.92e-04,6.37e-04
30,false,1.77e-02,1.77e-02,1.77e-02,2.00e-03,4.16e-03,1.35e-02
30,true,2.01e-03,3.13e-03,3.13e-03,2.82e-04,4.53e-04,1.98e-03
40,false,1.32e-03,1.32e-03,1.32e-03,3.28e-04,7.12e-04,6.11e-04
40,true,1.12e-04,1.12e-04,1.12e-04,1.57e-05,1.94e-05,8.25e-05
50,false,6.18e-04,6.18e-04,6.18e-04,8.11e-05,3.99e-04,8.11e-04
50,true,6.37e-05,6.37e-05,6.40e-05,9.99e-06,1.13e-05,7.57e-05
