k,n,p,num_indices,presolve,add_basis_pursuit_valid_inequalities,add_Shor_valid_inequalities,nrow,proportion_presolved,solve_time_relaxation_mean,solve_time_relaxation_geomean,time_taken_mean,time_taken_geomean,true_optimality_gap_mean,true_optimality_gap_geomean
2,10,2.0,40,false,false,false,20,0.0,0.01310189962387085,0.012987330321183979,4.425322318077088,0.10123605225776328,164.5119189650012,8.807857358720053
2,10,2.0,40,true,false,false,20,0.4,0.008841848373413086,0.0,0.01169646978378296,0.004976306049073009,0.0,0.0
2,10,2.0,40,true,true,false,8,1.0,0.0,0.0,0.0007062256336212158,0.0006785354224336739,0.0,0.0
2,10,2.0,40,true,true,true,8,1.0,0.0,0.0,0.0006597042083740234,0.0006524586964908395,0.0,0.0
2,10,2.5,50,false,false,false,20,0.0,0.013717257976531982,0.013612459279368671,3.5128334641456602,0.07135376553408529,2472.8985997896466,32.03063342670107
2,10,2.5,50,true,false,false,20,0.95,0.0006580471992492676,0.0,0.0015599489212036132,0.0008388526909576486,0.0,0.0
2,10,2.5,50,true,true,false,19,1.0,0.0,0.0,0.0006631926486366673,0.0006461315442041762,0.0,0.0
2,10,2.5,50,true,true,true,19,1.0,0.0,0.0,0.025978477377640575,0.0017490719292275947,0.0,0.0
2,10,3.0,60,false,false,false,20,0.0,0.016654551029205322,0.01612119428104899,3.580727529525757,0.07536801871662664,40123.419502427285,5.3616489701534125
2,10,3.0,60,true,false,false,20,1.0,0.0,0.0,0.0006427884101867676,0.0006338720118109129,0.0,0.0
2,10,3.0,60,true,true,false,20,1.0,0.0,0.0,0.0005998969078063965,0.0005928366160581352,0.0,0.0
2,10,3.0,60,true,true,true,20,1.0,0.0,0.0,0.024075472354888917,0.0016824176629552324,0.0,0.0
2,20,2.0,105,false,false,false,20,0.0,0.1095394492149353,0.1091685908004773,0.1214779257774353,0.1197977532496761,725.5000412964715,273.2541459923934
2,20,2.0,105,true,false,false,20,0.35,0.1320411443710327,0.0,0.14483383893966675,0.06186808866000519,0.0,0.0
2,20,2.0,105,true,true,false,7,1.0,0.0,0.0,0.00463451657976423,0.004546299929273283,0.0,0.0
2,20,2.0,105,true,true,true,7,1.0,0.0,0.0,0.011967011860438756,0.007280891682872296,0.0,0.0
2,20,2.5,131,false,false,false,20,0.0,0.11906499862670898,0.11834406561607815,0.12643957138061523,0.12566608131919363,203319.41042344144,275.8034784197082
2,20,2.5,131,true,false,false,20,0.9,0.018019890785217284,0.0,0.02719990015029907,0.006987137525833697,0.0,0.0
2,20,2.5,131,true,true,false,18,1.0,0.0,0.0,0.007597631878323025,0.0051624272182657985,0.0,0.0
2,20,2.5,131,true,true,true,18,1.0,0.0,0.0,0.003979153103298611,0.003950242402721089,0.0,0.0
2,20,3.0,157,false,false,false,20,0.0,0.12237300872802734,0.12181108856025932,0.13303117752075194,0.13157802135994562,1195.212853610728,55.79793428165741
2,20,3.0,157,true,false,false,20,1.0,0.0,0.0,0.008175623416900635,0.004617969273318733,0.0,0.0
2,20,3.0,157,true,true,false,20,1.0,0.0,0.0,0.008145678043365478,0.004782031093134782,0.0,0.0
2,20,3.0,157,true,true,true,20,1.0,0.0,0.0,0.004442346096038818,0.004234065720460663,0.0,0.0
2,30,2.0,178,false,false,false,20,0.0,0.6203458189964295,0.6178399565152956,0.6363499879837036,0.633811949612413,36913.93596931693,2010.5250347761978
2,30,2.0,178,true,false,false,20,0.4,0.7492336869239807,0.0,0.7863871812820434,0.20420208094363437,0.0,0.0
2,30,2.0,178,true,true,false,8,1.0,0.0,0.0,0.015578538179397583,0.015058872042121313,0.0,0.0
2,30,2.0,178,true,true,true,8,1.0,0.0,0.0,0.013643622398376465,0.01321237153119777,0.0,0.0
2,30,2.5,222,false,false,false,20,0.0,0.6333583950996399,0.6307166279133192,0.6602314591407776,0.6567033760841071,796257.221895667,3555.0390507553093
2,30,2.5,222,true,false,false,20,0.8,0.2407097578048706,0.0,0.2692485451698303,0.0446262451274401,0.0,0.0
2,30,2.5,222,true,true,false,16,1.0,0.0,0.0,0.02229970693588257,0.016456391108408595,0.0,0.0
2,30,2.5,222,true,true,true,16,1.0,0.0,0.0,0.03421624004840851,0.021676622299593894,0.0,0.0
2,30,3.0,266,false,false,false,20,0.0,0.7004770278930664,0.6972220088701443,0.7126513361930847,0.7094491031171347,72928.38027061491,1160.828714434833
2,30,3.0,266,true,false,false,20,1.0,0.0,0.0,0.01767427921295166,0.014496419899995646,0.0,0.0
2,30,3.0,266,true,true,false,20,1.0,0.0,0.0,0.026574110984802245,0.018527755494647215,0.0,0.0
2,30,3.0,266,true,true,true,20,1.0,0.0,0.0,0.02548633813858032,0.019665806253681122,0.0,0.0
2,40,2.0,257,false,false,false,20,0.0,1.980639898777008,1.9750785466460163,2.0147751569747925,2.0096714780824514,208878.44598681817,5520.025830264435
2,40,2.0,257,true,false,false,20,0.65,1.8393683314323426,0.0,1.9124837517738342,0.2626052378419007,0.0,0.0
2,40,2.0,257,true,true,false,13,1.0,0.0,0.0,0.06894328044011043,0.05644903936594025,0.0,0.0
2,40,2.0,257,true,true,true,13,1.0,0.0,0.0,0.05137394024775578,0.047676534831372734,0.0,0.0
2,40,2.5,321,false,false,false,20,0.0,2.1690492033958435,2.1589625692863605,2.186996912956238,2.177037484578593,5.119952835016812e8,55152.38407872962
2,40,2.5,321,true,false,false,20,0.9,0.46362484693527223,0.0,0.522125518321991,0.07432426280232649,0.0,0.0
2,40,2.5,321,true,true,false,18,1.0,0.0,0.0,0.06495520803663465,0.053951371429280845,0.0,0.0
2,40,2.5,321,true,true,true,18,1.0,0.0,0.0,0.06795897748735216,0.0585730257236645,0.0,0.0
2,40,3.0,385,false,false,false,20,0.0,2.2789185285568236,2.2727803034235206,2.3136696457862853,2.307649515012503,4.734693732707149e10,10411.984130610661
2,40,3.0,385,true,false,false,20,0.95,0.2538125514984131,0.0,0.3238848328590393,0.07411879771776077,0.0,0.0
2,40,3.0,385,true,true,false,19,1.0,0.0,0.0,0.05516107458817331,0.04843232509700189,0.0,0.0
2,40,3.0,385,true,true,true,19,1.0,0.0,0.0,0.0686800479888916,0.05770569668693379,0.0,0.0
2,50,2.0,340,false,false,false,20,0.0,5.812024581432342,5.788787579322839,5.839295756816864,5.815978709237958,2.1573781077103395e7,85055.73194952366
2,50,2.0,340,true,false,false,20,0.75,4.063122582435608,0.0,4.175107085704804,0.3376281724291367,0.0,0.0
2,50,2.0,340,true,true,false,15,1.0,0.0,0.0,0.08687165578206381,0.0848317312964139,0.0,0.0
2,50,2.0,340,true,true,true,15,1.0,0.0,0.0,0.10330901145935059,0.09784580690112082,0.0,0.0
2,50,2.5,425,false,false,false,20,0.0,5.933696866035461,5.911449779507339,5.96940062046051,5.947305401944121,5.002492560732292e6,41272.05229891371
2,50,2.5,425,true,false,false,20,1.0,0.0,0.0,0.09799644947052003,0.09513682660657061,0.0,0.0
2,50,2.5,425,true,true,false,20,1.0,0.0,0.0,0.11350736618041993,0.11029915068614042,0.0,0.0
2,50,2.5,425,true,true,true,20,1.0,0.0,0.0,0.09972167015075684,0.09741587433863168,0.0,0.0
2,50,3.0,510,false,false,false,20,0.0,6.4844442248344425,6.470868544582334,6.5180729031562805,6.504240793507527,1.0610498292148482e7,8218.76182660819
2,50,3.0,510,true,false,false,20,1.0,0.0,0.0,0.10173162221908569,0.09808958294695232,0.0,0.0
2,50,3.0,510,true,true,false,20,1.0,0.0,0.0,0.10943219661712647,0.10722407640133337,0.0,0.0
2,50,3.0,510,true,true,true,20,1.0,0.0,0.0,0.1192932367324829,0.11618263069471325,0.0,0.0
