n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.58e-02,1.93e-02,1.43e-02,2.63e-02,2.45e-02,3.45e-02
10,true,1.49e-02,1.91e-02,1.66e-02,2.49e-02,2.48e-02,2.95e-02
20,false,1.41e-01,1.44e-01,1.20e-01,1.34e-01,1.33e-01,1.74e-01
20,true,1.38e-01,1.41e-01,1.23e-01,1.36e-01,1.34e-01,1.40e-01
30,false,6.31e-01,6.34e-01,5.59e-01,5.39e-01,5.35e-01,6.67e-01
30,true,6.11e-01,6.27e-01,5.64e-01,5.15e-01,5.26e-01,5.39e-01
40,false,1.89e+00,1.79e+00,1.70e+00,1.63e+00,1.59e+00,1.84e+00
40,true,1.92e+00,1.80e+00,1.71e+00,1.64e+00,1.58e+00,1.66e+00
50,false,5.23e+00,4.94e+00,4.72e+00,4.12e+00,4.18e+00,4.43e+00
50,true,4.90e+00,4.71e+00,4.58e+00,4.17e+00,4.21e+00,4.37e+00
