n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,1.63e-02,1.84e-02,2.78e-02,2.70e-02,2.34e-02,3.73e-02
10,true,1.53e-02,1.78e-02,2.09e-02,2.44e-02,2.42e-02,2.92e-02
20,false,1.26e-01,1.33e-01,1.09e-01,1.42e-01,1.34e-01,1.51e-01
20,true,1.27e-01,1.33e-01,1.12e-01,1.37e-01,1.35e-01,1.44e-01
30,false,6.37e-01,6.20e-01,5.33e-01,5.39e-01,5.24e-01,7.71e-01
30,true,6.10e-01,5.95e-01,5.41e-01,5.23e-01,5.36e-01,5.50e-01
40,false,1.88e+00,1.80e+00,1.72e+00,1.58e+00,1.51e+00,1.91e+00
40,true,1.87e+00,1.78e+00,1.68e+00,1.56e+00,1.53e+00,1.67e+00
50,false,4.98e+00,4.68e+00,4.55e+00,4.09e+00,4.08e+00,4.21e+00
50,true,4.72e+00,4.57e+00,4.49e+00,4.20e+00,4.12e+00,4.30e+00
