n,p,γ,Int64[],[4],"[4, 3]"
10,2.0,20.0,0.02,0.228,1.77
10,2.0,80.0,0.0212,0.228,1.81
10,3.0,20.0,0.024,1.04,6.32
10,3.0,80.0,0.024,1.05,6.43
20,2.0,20.0,0.139,2.01,18.7
20,2.0,80.0,0.145,1.94,18.7
20,3.0,20.0,0.164,6.65,72.9
20,3.0,80.0,0.171,6.54,76.7
30,2.0,20.0,0.64,7.91,77.2
30,2.0,80.0,0.675,7.55,77.6
30,3.0,20.0,0.752,17.6,353.0
30,3.0,80.0,0.784,17.7,381.0
