n,altmin_flag,bestfirst,breadthfirst,depthfirst,bestfirst_disjunctive,breadthfirst_disjunctive,depthfirst_disjunctive
10,false,2.56e-01,3.21e-01,3.75e-01,3.19e-01,3.93e-01,4.73e-01
10,true,1.44e-02,2.71e-02,1.12e-01,1.48e-02,2.63e-02,9.37e-02
20,false,1.09e-01,1.09e-01,1.09e-01,1.12e-01,1.34e-01,1.39e-01
20,true,5.88e-02,6.05e-02,6.06e-02,3.53e-02,4.64e-02,1.10e-01
30,false,1.31e-01,1.31e-01,1.31e-01,1.34e-01,1.45e-01,1.48e-01
30,true,6.94e-02,7.08e-02,7.08e-02,3.60e-02,4.27e-02,6.76e-02
40,false,7.76e-02,7.76e-02,7.76e-02,6.77e-02,7.38e-02,7.93e-02
40,true,4.27e-02,4.27e-02,4.27e-02,2.27e-02,2.58e-02,4.16e-02
50,false,3.71e-02,3.71e-02,3.71e-02,4.85e-02,5.15e-02,5.41e-02
50,true,2.55e-02,2.55e-02,2.55e-02,1.66e-02,1.83e-02,2.98e-02
